cik,ddate,revenue,net_income,assets,liabilities,debt,equity,cash_flow,receivables,cogs,name
58361,30/09/2023,,-5267000,,,445943000,23706000,-1637000,60648000,,"LEE ENTERPRISES, INC"
58361,30/09/2024,,-25845000,649171000,656505000,445943000,23706000,-1637000,60648000,,"LEE ENTERPRISES, INC"
58361,30/09/2025,,-37593000,601729000,642688000,445943000,23706000,-1637000,60648000,,"LEE ENTERPRISES, INC"
